Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,FLEX Proj
TE,Jody Fortson (30190042),Jody Fortson,30190042,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Tre'Quan Smith (30190043),Tre'Quan Smith,30190043,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
RB,Deneric Prince (30190073),Deneric Prince,30190073,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
RB,La'Mical Perine (30190074),La'Mical Perine,30190074,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,James Winchester (30190075),James Winchester,30190075,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Blake Bell (30190076),Blake Bell,30190076,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,1.84,0.558
WR,Tim Patrick (30190077),Tim Patrick,30190077,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
RB,Tyler Badie (30190078),Tyler Badie,30190078,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Montrell Washington (30190079),Montrell Washington,30190079,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Richie James Jr. (30190080),Richie James Jr.,30190080,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0.3,0
RB,Dwayne Washington (30190081),Dwayne Washington,30190081,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Nikko Remigio (30190082),Nikko Remigio,30190082,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
RB,Michael Burton (30190083),Michael Burton,30190083,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0.72,0.4
WR,Lil'Jordan Humphrey (30190085),Lil'Jordan Humphrey,30190085,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,2.52,1.254
WR,Cornell Powell (30190086),Cornell Powell,30190086,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Jalen Virgil (30190087),Jalen Virgil,30190087,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
TE,Mitchell Fraboni (30190088),Mitchell Fraboni,30190088,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
TE,Chris Manhertz (30190089),Chris Manhertz,30190089,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0.4,0.596
TE,Nate Adkins (30190090),Nate Adkins,30190090,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,1.22,0.744
TE,Matt Bushman (30190091),Matt Bushman,30190091,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Gerrit Prince (30190092),Gerrit Prince,30190092,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Michael Bandy (30190093),Michael Bandy,30190093,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Chase Cota (30190094),Chase Cota,30190094,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Phillip Dorsett II (30190095),Phillip Dorsett II,30190095,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,David Sills V (30190096),David Sills V,30190096,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Daniel Arias (30190097),Daniel Arias,30190097,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Lucas Krull (30190098),Lucas Krull,30190098,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
TE,Jody Fortson (30190099),Jody Fortson,30190099,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Tre'Quan Smith (30190100),Tre'Quan Smith,30190100,FLEX,200,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
